"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.677934500E0,-6.783986837E-2,2.894987166E-1,1.121649239E-2,2.975526245E-1
2.687910500E0,-7.811780274E-2,3.345982730E-1,1.242556889E-2,3.438208693E-1
2.697885500E0,-9.295393527E-2,3.920575678E-1,1.644254290E-2,4.032616121E-1
2.707860500E0,-1.029362604E-1,4.515081346E-1,1.640419289E-2,4.633838224E-1
2.717836500E0,-1.066321731E-1,5.093020201E-1,1.613231748E-2,5.205950630E-1
2.727811500E0,-1.073967665E-1,5.668545365E-1,1.674510911E-2,5.771815397E-1
2.737787500E0,-1.022835076E-1,6.156860590E-1,1.611938328E-2,6.243325025E-1
2.747762500E0,-9.563679248E-2,6.546206474E-1,1.413559448E-2,6.617207894E-1
2.757737500E0,-8.523327857E-2,6.863944530E-1,1.227758266E-2,6.917751051E-1
2.767713500E0,-6.942848116E-2,7.036631703E-1,6.812510081E-3,7.071128493E-1
2.777688500E0,-5.277299508E-2,7.132742405E-1,7.881596684E-3,7.152672583E-1
2.787663500E0,-3.413406387E-2,7.178721428E-1,3.513745964E-3,7.186917936E-1
2.797639500E0,-1.200209372E-2,7.229439020E-1,-3.072301857E-3,7.230500500E-1
2.807614500E0,1.015886851E-2,7.255892158E-1,-1.479998231E-3,7.256618379E-1
2.817590500E0,3.037137166E-2,7.261893153E-1,-3.953021485E-3,7.268348975E-1
2.827565500E0,5.450973287E-2,7.366430759E-1,-5.755981430E-3,7.386795406E-1
2.837540500E0,7.725810260E-2,7.535113096E-1,-7.872140966E-3,7.575025272E-1
2.847516500E0,9.830479324E-2,7.753700018E-1,-6.973857060E-3,7.816080263E-1
2.857491500E0,1.162331700E-1,8.050071597E-1,-1.333005447E-2,8.134644229E-1
2.867467500E0,1.310672462E-1,8.359863758E-1,-1.532369666E-2,8.463372019E-1
2.877442500E0,1.437513083E-1,8.660448790E-1,-1.557205245E-2,8.780322658E-1
2.887417500E0,1.493274271E-1,8.960999846E-1,-1.829966158E-2,9.086411506E-1
2.897393500E0,1.476599723E-1,9.168142676E-1,-2.009354532E-2,9.288463917E-1
2.907368500E0,1.452407539E-1,9.322230816E-1,-2.150395513E-2,9.437145599E-1
2.917343500E0,1.391868740E-1,9.339608550E-1,-2.070793882E-2,9.445023469E-1
2.927319500E0,1.270782799E-1,9.268547297E-1,-2.007703669E-2,9.357412391E-1
2.937294500E0,1.113736778E-1,9.096860886E-1,-1.833895966E-2,9.166619842E-1
2.947270500E0,8.963881433E-2,8.900010586E-1,-1.772456802E-2,8.946793625E-1
2.957245500E0,6.873606145E-2,8.668969870E-1,-1.528172567E-2,8.697520125E-1
2.967220500E0,4.399662465E-2,8.403056264E-1,-1.300312392E-2,8.415570866E-1
2.977196500E0,1.945312135E-2,8.199374080E-1,-1.237577852E-2,8.202615051E-1
2.987171500E0,-4.709206987E-3,7.983162999E-1,-1.013472863E-2,7.983945166E-1
2.997146500E0,-2.619844303E-2,7.875936627E-1,-4.604047164E-3,7.880427230E-1
