"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.121276708E0,7.474873960E-2,-1.290250778E0,-9.932477027E-2,1.296225233E0
2.131251708E0,1.003204137E-1,-1.233071685E0,-9.996765852E-2,1.241178270E0
2.141225708E0,1.230637282E-1,-1.189529538E0,-9.813052416E-2,1.199897830E0
2.151200708E0,1.414778829E-1,-1.159964204E0,-9.091521800E-2,1.172091516E0
2.161175708E0,1.506824791E-1,-1.145090818E0,-7.969000936E-2,1.157708378E0
2.171150708E0,1.557376832E-1,-1.135593653E0,-6.199543551E-2,1.147898342E0
2.181125708E0,1.552526504E-1,-1.132852912E0,-5.312862247E-2,1.144675393E0
2.191100708E0,1.467198730E-1,-1.117842793E0,-4.108181596E-2,1.128178597E0
2.201075708E0,1.332893670E-1,-1.088974595E0,-1.309000049E-2,1.097179599E0
2.211050708E0,1.168280914E-1,-1.047349930E0,1.293867081E-2,1.053925086E0
2.221024708E0,1.006491408E-1,-9.983868003E-1,3.768854961E-2,1.004154808E0
2.230999708E0,7.686258107E-2,-9.354326129E-1,6.771835685E-2,9.410248698E-1
2.240974708E0,5.168006197E-2,-8.404259086E-1,9.359824657E-2,8.471996036E-1
2.250949708E0,2.147928253E-2,-7.258425951E-1,1.143956780E-1,7.351157756E-1
2.260924708E0,-9.330121800E-3,-5.980527401E-1,1.342133135E-1,6.129986498E-1
2.270899708E0,-3.751435503E-2,-4.656297266E-1,1.432624608E-1,4.886128343E-1
2.280874708E0,-6.268240511E-2,-3.449015915E-1,1.414857060E-1,3.780269789E-1
2.290848708E0,-8.959124982E-2,-2.491670549E-1,1.341164708E-1,2.968131416E-1
2.300823708E0,-1.150709018E-1,-1.601968259E-1,1.131201908E-1,2.273774682E-1
2.310798708E0,-1.356438249E-1,-7.943806797E-2,7.946874946E-2,1.761389679E-1
2.320773708E0,-1.497433484E-1,-5.124927498E-3,4.237189889E-2,1.557071388E-1
